Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR151615506644729856,"AMERICAN ACTION NETWORK, INC",EIN ID 27-0730508,US,US-Federal,12,14900,13050,1053000,25850,98200,340000,98500,4230000,56700,62850,138000,11300
AR152236180958609408,PETE SESSSIONS FOR CONGRESS,FEC ID H2TX03126,US,US-Federal,1,4200,3700,296500,7275,27600,96000,28000,1192500,16000,17700,39000,3200
AR152876371603881984,CDU-Kreisverband Neustadt,,"DE, EU",EU-Parliament,2,400,400,30500,750,2800,10000,3000,120000,1600,1800,3750,350
AR152882144039927808,Socialdemokraterne Aarhus 1. Kreds,,"DK, EU, PL, RO",EU-Parliament,197,18000,15850,1278500,31375,119200,413000,119500,5130000,68900,76275,167250,13700
AR153498420307296256,ELISE FOR CONGRESS,FEC ID C00547893,US,US-Federal,21,28800,25350,2042000,50100,190300,659000,191000,8197500,110000,121800,267000,21900
AR153505017377062912,EMMER FOR CONGRESS,FEC ID C00545749,US,US-Federal,2,4300,3800,305000,7475,28400,98000,28500,1222500,16400,18225,39750,3250
AR15363475974914048,GARRET GRAVES FOR CONGRESS,FEC ID C00558486,US,US-Federal,31,300,200,18000,450,1700,6000,1500,75000,1000,1050,2250,200
AR153768075534008320,Folkstyret,,"EU, SE",EU-Parliament,22,300,300,24750,600,2300,8000,2500,97500,1300,1500,3000,250
AR153799136737492992,"SETH MOULTON FOR AMERICA, INC",EIN ID 83-4454554,US,US-Federal,11,51800,45600,3674750,90175,342500,1186000,344000,14752500,198000,219225,480750,39400
AR15428347160952832,KEN HARBAUGH FOR CONGRESS,FEC ID C00646752,US,US-Federal,19,15700,13850,1115500,27375,104000,360000,104500,4477500,60100,66525,145500,11950
AR155046807557111808,The Independent Group (TIG) LTD,,"EU, GB",EU-Parliament,28,9200,8100,653750,16050,60900,211000,61000,2625000,35200,39000,85500,7000
AR15516582969081856,ADDO DIGITAL IKE,,"EU, GR",EU-Parliament,2,100,50,5000,125,500,2000,500,22500,300,300,750,50
AR155750220120981504,PROGRESS NC ACTION IE PAC,EIN ID 83-1926252,US,US-Federal,3,200,200,15250,375,1400,5000,1500,60000,800,900,2250,150
AR156165835516280832,MCCASKILL FOR MISSOURI,FEC ID C00431304,US,US-Federal,364,716700,630700,50822750,1247100,4737500,16399000,4759000,204022500,2737900,3031725,6644250,544700
AR156209815981391872,AMERICAN PATRIOTS PAC,FEC ID C00668905,US,US-Federal,16,21500,18900,1521750,37350,141900,491000,142500,6112500,82000,90750,198750,16300
AR156613886504599552,Solidarité DéFI,,"BE, EU",EU-Parliament,2,1000,850,67500,1650,6300,22000,6500,270000,3600,4050,9000,700
AR156623232353435648,ILLINOIS REPUBLICAN PARTY,FEC ID C00005926,US,US-Federal,31,27800,24450,1968250,48300,183500,635000,184500,7905000,106000,117450,257250,21100
